workerid,proliferate.condition,item1,item1_compre,item1_trial1,item1_trial1_image,item1_trial2,item1_trial2_image,item1_trial3,item1_trial3_image,item1_trial4,item1_trial4_image,item2,item2_compre,item2_trial1,item2_trial1_image,item2_trial2,item2_trial2_image,item2_trial3,item2_trial3_image,item2_trial4,item2_trial4_image,item3,item3_compre,item3_trial1,item3_trial1_image,item3_trial2,item3_trial2_image,item3_trial3,item3_trial3_image,item3_trial4,item3_trial4_image,error
4361,condition 1,Xan,1,3,xan_intervention2,2,xan_intervention3,2,xan_intervention1,3,xan_intervention4,Zerp,1,2,zerp_intervention1,3,zerp_intervention2,3,zerp_intervention4,2,zerp_intervention3,Jig,1,3,jig_intervention4,2,jig_intervention1,2,jig_intervention3,3,jig_intervention2,
4412,condition 1,Zerp,1,4,zerp_intervention3,2,zerp_intervention2,2,zerp_intervention4,4,zerp_intervention1,Jig,1,1,jig_intervention4,0,jig_intervention2,,jig_intervention1,5,jig_intervention3,Xan,1,1,xan_intervention2,2,xan_intervention1,4,xan_intervention4,5,xan_intervention3,
4355,condition 1,Zerp,1,3,zerp_intervention3,3,zerp_intervention4,4,zerp_intervention1,4,zerp_intervention2,Xan,1,5,xan_intervention1,3,xan_intervention4,4,xan_intervention2,5,xan_intervention3,Jig,1,6,jig_intervention3,4,jig_intervention2,5,jig_intervention1,4,jig_intervention4,
4414,condition 1,Zerp,1,4,zerp_intervention2,4,zerp_intervention3,4,zerp_intervention1,4,zerp_intervention4,Xan,1,6,xan_intervention3,5,xan_intervention2,5,xan_intervention1,5,xan_intervention4,Jig,1,6,jig_intervention4,5,jig_intervention1,5,jig_intervention3,5,jig_intervention2,
4400,condition 1,Xan,1,6,xan_intervention3,6,xan_intervention2,6,xan_intervention1,6,xan_intervention4,Jig,1,6,jig_intervention1,6,jig_intervention2,6,jig_intervention3,6,jig_intervention4,Zerp,1,6,zerp_intervention1,6,zerp_intervention4,6,zerp_intervention3,6,zerp_intervention2,
4406,condition 1,Zerp,1,6,zerp_intervention1,1,zerp_intervention2,1,zerp_intervention4,4,zerp_intervention3,Jig,1,1,jig_intervention4,5,jig_intervention1,4,jig_intervention3,1,jig_intervention2,Xan,1,2,xan_intervention2,4,xan_intervention1,4,xan_intervention3,1,xan_intervention4,
4396,condition 1,Xan,1,4,xan_intervention4,4,xan_intervention2,5,xan_intervention1,4,xan_intervention3,Zerp,0,3,zerp_intervention2,4,zerp_intervention3,4,zerp_intervention1,3,zerp_intervention4,Jig,1,3,jig_intervention4,3,jig_intervention2,4,jig_intervention3,3,jig_intervention1,
4374,condition 1,Xan,1,0,xan_intervention2,3,xan_intervention1,3,xan_intervention3,0,xan_intervention4,Zerp,1,0,zerp_intervention4,2,zerp_intervention1,0,zerp_intervention2,2,zerp_intervention3,Jig,1,0,jig_intervention4,1,jig_intervention3,1,jig_intervention2,2,jig_intervention1,
4410,condition 1,Jig,1,2,jig_intervention1,2,jig_intervention4,2,jig_intervention3,2,jig_intervention2,Zerp,1,1,zerp_intervention2,1,zerp_intervention4,2,zerp_intervention1,2,zerp_intervention3,Xan,1,0,xan_intervention2,1,xan_intervention4,2,xan_intervention1,2,xan_intervention3,
4446,condition 1,Jig,1,6,jig_intervention2,6,jig_intervention3,6,jig_intervention1,6,jig_intervention4,Zerp,1,6,zerp_intervention4,6,zerp_intervention2,6,zerp_intervention3,6,zerp_intervention1,Xan,1,6,xan_intervention1,6,xan_intervention2,6,xan_intervention3,6,xan_intervention4,
4360,condition 1,Zerp,1,0,zerp_intervention2,6,zerp_intervention1,2,zerp_intervention3,0,zerp_intervention4,Jig,1,4,jig_intervention1,1,jig_intervention4,2,jig_intervention2,4,jig_intervention3,Xan,1,4,xan_intervention1,2,xan_intervention2,4,xan_intervention3,2,xan_intervention4,
